0.35,0.2,10.45
0.335,0.25943,10.172
0.32744,0.31655,9.9016
0.32635,0.37265,9.6386
0.33098,0.42885,9.3828
0.34077,0.48618,9.134
0.35531,0.54561,8.8921
0.37434,0.60804,8.6569
0.39771,0.67437,8.4284
0.42538,0.74547,8.2063
0.45739,0.82221,7.9906
0.49387,0.90551,7.7813
0.53503,0.99631,7.5783
0.58116,1.0956,7.3815
0.6326,1.2045,7.191
0.68979,1.3241,7.0069
0.75322,1.4556,6.8292
0.82346,1.6005,6.658
0.90117,1.7603,6.4937
0.98708,1.9365,6.3364
1.082,2.131,6.1865
1.1869,2.3457,6.0446
1.3028,2.5828,5.9112
1.4308,2.8448,5.7873
1.5722,3.1341,5.6736
1.7284,3.4538,5.5716
1.9009,3.8069,5.4827
2.0915,4.1969,5.4089
2.3021,4.6274,5.3524
2.5346,5.1025,5.3162
2.7914,5.6264,5.3038
3.0749,6.2037,5.3194
3.3878,6.839,5.3683
3.7329,7.5374,5.4568
4.1133,8.3035,5.5927
4.5323,9.1421,5.7851
4.9933,10.058,6.0452
5.4998,11.053,6.3862
6.0551,12.131,6.8238
6.6627,13.292,7.3764
7.3257,14.534,8.0653
8.0465,15.849,8.9149
8.8267,17.226,9.9525
9.6666,18.647,11.208
10.565,20.083,12.711
11.516,21.498,14.494
12.515,22.838,16.583
13.547,24.039,18.999
14.596,25.017,21.749
15.638,25.68,24.82
16.642,25.92,28.174
17.57,25.632,31.737
18.376,24.719,35.394
19.011,23.113,38.993
19.421,20.792,42.347
19.558,17.798,45.256
19.382,14.245,47.53
18.868,10.317,49.023
18.013,6.2475,49.663
16.837,2.2829,49.464
15.381,-1.3537,48.529
13.708,-4.4978,47.027
11.887,-7.0609,45.156
9.9924,-9.0297,43.113
8.0902,-10.45,41.061
6.2362,-11.402,39.12
4.4724,-11.981,37.366
2.8271,-12.28,35.834
1.3163,-12.379,34.531
-0.053186,-12.341,33.447
-1.282,-12.215,32.562
-2.3753,-12.034,31.85
-3.3411,-11.822,31.287
-4.1893,-11.594,30.847
-4.9298,-11.359,30.511
-5.5727,-11.122,30.257
-6.1276,-10.885,30.07
-6.6033,-10.649,29.935
-7.0079,-10.415,29.84
-7.3486,-10.182,29.774
-7.6319,-9.9495,29.728
-7.8637,-9.7181,29.695
-8.0491,-9.4877,29.667
-8.193,-9.2586,29.64
-8.2995,-9.0317,29.608
-8.3727,-8.8079,29.568
-8.4163,-8.5886,29.517
-8.4335,-8.375,29.453
-8.4277,-8.1688,29.374
-8.4018,-7.9713,29.279
-8.3587,-7.7842,29.168
-8.3013,-7.6088,29.04
-8.232,-7.4463,28.898
-8.1534,-7.2979,28.74
-8.0679,-7.1646,28.569
-7.9776,-7.0471,28.385
-7.8845,-6.9459,28.19
-7.7907,-6.8615,27.986
-7.6977,-6.7939,27.774
-7.6074,-6.7434,27.557
-7.521,-6.7097,27.335
-7.4398,-6.6926,27.111
-7.3651,-6.6918,26.885
-7.2978,-6.707,26.661
-7.2387,-6.7376,26.44
-7.1886,-6.7832,26.223
-7.1481,-6.8431,26.011
-7.1176,-6.9169,25.806
-7.0975,-7.0038,25.611
-7.0881,-7.1034,25.425
-7.0897,-7.2149,25.25
-7.1022,-7.3377,25.088
-7.1257,-7.4711,24.94
-7.1603,-7.6144,24.808
-7.2057,-7.7668,24.691
-7.2618,-7.9276,24.593
-7.3284,-8.0957,24.513
-7.4051,-8.2704,24.452
-7.4916,-8.4504,24.413
-7.5875,-8.6346,24.395
-7.6922,-8.8218,24.399
-7.8052,-9.0106,24.427
-7.9257,-9.1994,24.479
-8.0531,-9.3864,24.555
-8.1864,-9.5699,24.657
-8.3248,-9.748,24.782
-8.4671,-9.9183,24.933
-8.6122,-10.079,25.108
-8.7589,-10.227,25.306
-8.9057,-10.361,25.527
-9.0512,-10.477,25.769
-9.1938,-10.574,26.031
-9.3319,-10.65,26.309
-9.4637,-10.701,26.601
-9.5874,-10.727,26.904
-9.7013,-10.724,27.215
-9.8036,-10.693,27.53
-9.8926,-10.632,27.844
-9.9666,-10.542,28.153
-10.024,-10.421,28.453
-10.064,-10.271,28.739
-10.084,-10.094,29.006
-10.085,-9.8917,29.251
-10.066,-9.6666,29.468
-10.026,-9.4221,29.656
-9.9657,-9.1619,29.809
-9.8853,-8.89,29.928
-9.7858,-8.6105,30.008
-9.6683,-8.3279,30.051
-9.5342,-8.0463,30.055
-9.3855,-7.77,30.02
-9.2239,-7.5027,29.949
-9.0518,-7.2479,29.842
-8.8714,-7.0086,29.703
-8.6851,-6.7875,29.532
-8.4954,-6.5866,29.334
-8.3045,-6.4073,29.112
-8.1148,-6.251,28.867
-7.9284,-6.1181,28.605
-7.7474,-6.0089,28.327
-7.5735,-5.9235,28.037
-7.4085,-5.8614,27.738
-7.2538,-5.8222,27.433
-7.1106,-5.8051,27.124
-6.9801,-5.8094,26.813
-6.863,-5.8342,26.504
-6.7601,-5.8785,26.197
-6.672,-5.9416,25.896
-6.5989,-6.0226,25.602
-6.5413,-6.1206,25.317
-6.4992,-6.2349,25.042
-6.4728,-6.3649,24.779
-6.462,-6.5097,24.53
-6.4668,-6.6688,24.297
-6.487,-6.8416,24.08
-6.5224,-7.0274,23.882
-6.5729,-7.2257,23.703
-6.6382,-7.4359,23.546
-6.718,-7.6572,23.412
-6.8119,-7.8888,23.302
-6.9196,-8.1299,23.218
-7.0406,-8.3795,23.162
-7.1745,-8.6364,23.134
-7.3207,-8.8992,23.137
-7.4786,-9.1662,23.171
-7.6473,-9.4357,23.239
-7.8262,-9.7054,23.341
-8.0141,-9.973,23.478
-8.21,-10.236,23.651
-8.4126,-10.49,23.861
-8.6203,-10.734,24.107
-8.8317,-10.962,24.389
-9.0447,-11.171,24.707
-9.2574,-11.357,25.059
-9.4674,-11.516,25.442
-9.6723,-11.643,25.854
-9.8694,-11.734,26.29
-10.056,-11.786,26.747
-10.229,-11.794,27.219
-10.385,-11.756,27.7
-10.522,-11.669,28.182
-10.637,-11.534,28.658
-10.727,-11.348,29.121
-10.789,-11.115,29.562
-10.821,-10.835,29.973
-10.823,-10.513,30.346
-10.792,-10.154,30.674
-10.728,-9.7639,30.952
-10.632,-9.3496,31.174
-10.503,-8.9186,31.337
-10.345,-8.4789,31.438
-10.158,-8.0385,31.477
-9.9464,-7.6049,31.454
-9.7122,-7.1853,31.372
-9.4595,-6.786,31.233
-9.1922,-6.4123,31.042
-8.9142,-6.0685,30.804
-8.6296,-5.7579,30.523
-8.3424,-5.4826,30.206
-8.0565,-5.2437,29.858
-7.7752,-5.0416,29.484
